text,analyzed_token,true_label,pred_label,prob_anomaly,error_category,model,scenario
"Vedení společnosti věří, že tento úspěch mění celé paradigma distribuce audiovizuálního obsahu.",paradigma,1.0,1.0,0.99998499020114,TP,SVM (RBF),S1e
"Rozpočet pro tento sektor vzroste v příštím roce o 5,5 miliardy korun.",příštím,0.0,0.0,0.000114618347966367,TN,SVM (RBF),S1e
"Bylo oznámeno, že od ledna dojde k optimalizaci poplatků za služby v domovech pro seniory.",optimalizaci,1.0,1.0,0.9956007603971883,TP,SVM (RBF),S1e
Na sedm let odnětí svobody dostal nepodmíněný trest ten hlavní obžalovaný.,odnětí,0.0,0.0,0.004170327325275588,TN,SVM (RBF),S1e
Způsob propagace akce byl směšný.,směšný,1.0,1.0,0.9790457045080595,TP,SVM (RBF),S1e
"Regulátoři se zaměřují na to, jak chamtivé korporace zneužívají své dominantní postavení na trhu s mobilními aplikacemi.",chamtivé,1.0,1.0,0.9999990083148219,TP,SVM (RBF),S1e
"Jeden z předních expertů varuje, že nově objevená zranitelnost v DeFi protokolu představuje pro všechny držitele smrtící nebezpečí.",smrtící,1.0,1.0,0.9999825815061898,TP,SVM (RBF),S1e
"Ekologičtí aktivisté ovšem tvrdí, že jde jen o uměle vyvolaný bordel a že elektrárny krajině neublíží.",bordel,1.0,1.0,0.9999997503188968,TP,SVM (RBF),S1e
Kritizované podmínky splnilo skoro všech pět zájemců o celou zakázku.,celou,0.0,0.0,0.009057221999796231,TN,SVM (RBF),S1e
Finanční podpora byla navýšena i přes diskutabilní uměleckou hodnotu některých dříve podpořených projektů.,diskutabilní,1.0,1.0,0.9955791873322009,TP,SVM (RBF),S1e
"Nebude se moci do restaurací, do kaváren, nebude se moci do vlaků, TGV, ani do divadel.",TGV,1.0,1.0,0.6205269433416727,TP,SVM (RBF),S1e
Režisérovi se podařilo vytvořit povedený přepis náročné literární předlohy.,povedený,1.0,1.0,0.9941182899749218,TP,SVM (RBF),S1e
Toto špičkové zařízení umožní provádět detailnější diagnostiku neurologických a onkologických onemocnění.,špičkové,1.0,1.0,0.6642912262808593,TP,SVM (RBF),S1e
Město při plánování průmyslového parku o rozloze zhruba 115 hektarů uzavřelo spolupráci se Státní investiční a rozvojovou společností.,uzavřelo,0.0,0.0,0.006153542000259226,TN,SVM (RBF),S1e
Návrh byl na radě města šmahem schválen bez hlubší analýzy budoucího využití plochy.,šmahem,1.0,1.0,0.9999998622486079,TP,SVM (RBF),S1e
"Opozice kritizuje vládu, že svým přístupem vyvolává zbytečnou covidhysterie namísto klidného informování veřejnosti.",covidhysterie,1.0,1.0,0.9965036528476383,TP,SVM (RBF),S1e
"Stavební práce mají za cíl vyřešit problémy s pověstným propadem vozovky v pravém jízdním pruhu, který se objevoval každou zimu.",pověstným,1.0,1.0,0.9963748018857073,TP,SVM (RBF),S1e
"Vyšetřovatelé prověřují nové důkazy, které by snad mohly vést k dopadení pachatele.",snad,1.0,1.0,0.9618193581362446,TP,SVM (RBF),S1e
Naprosté selhání dozorových orgánů vedlo k opožděné reakci na růst cen.,reakci,0.0,0.0,0.11685180880110979,TN,SVM (RBF),S1e
"Kritici ale upozorňují, že tato štědrá podpora znamená nadměrné zatížení státního rozpočtu bez jasných záruk návratnosti.",štědrá,1.0,1.0,0.9999973648539477,TP,SVM (RBF),S1e
Zákazníci se stávají rukojmími manažerů nadnárodních firem.,nadnárodních,0.0,1.0,0.5085913418801109,FP,SVM (RBF),S1e
Večírky zástupců strany se konaly v restauraci a jejich účast byla vysoká.,restauraci,0.0,0.0,0.006025262458794456,TN,SVM (RBF),S1e
"Průměrná cena benzínu se snížila o 0,80 koruny za jeden litr paliva.",paliva,0.0,1.0,0.8145622503211485,FP,SVM (RBF),S1e
Podmínky soutěže jsou šité na míru jedné firmě.,míru,0.0,0.0,0.06068517039952539,TN,SVM (RBF),S1e
Audit odhalil skandální plýtvání penězi daňových poplatníků v několika operačních programech v Portugalsku.,skandální,1.0,1.0,0.9999999103812712,TP,SVM (RBF),S1e
"Ekonomické sankce, které se dosud považovaly za poslední možnost, byly nyní aktivovány jako sevřená pěst mezinárodního tlaku.",pěst,1.0,1.0,0.9320928556606373,TP,SVM (RBF),S1e
Pro obyvatele je tato rostoucí inflace doslova zlodějina páchaná na jejich úsporách.,zlodějina,1.0,1.0,0.9999999445442672,TP,SVM (RBF),S1e
"Zdá se, že řešení vleklé občanské války v oblasti je v nedohlednu, shodují se experti.",vleklé,1.0,1.0,0.996954945268765,TP,SVM (RBF),S1e
"Podnikatelé se obávají, že ekonomický propad by mohl vést k masivnímu propouštění a omezení investic v klíčových sektorech.",propad,1.0,1.0,0.8244084245460744,TP,SVM (RBF),S1e
Večírky zástupců strany se konaly v restauraci a jejich účast byla vysoká.,zástupců,0.0,0.0,0.013919890464924511,TN,SVM (RBF),S1e
Důvodem je zhoršená bezpečnostní situace v oblasti.,zhoršená,0.0,0.0,0.0006980548342669184,TN,SVM (RBF),S1e
Ulice jsou teď rozkopané a doprava kolabuje.,rozkopané,1.0,1.0,0.9366143476389088,TP,SVM (RBF),S1e
Stav českého zdravotnictví je momentálně tristní.,českého,0.0,0.0,0.00021454442423411566,TN,SVM (RBF),S1e
Zóny omezí vjezd starším vozidlům s emisními normami Euro 4 a nižšími.,vozidlům,0.0,0.0,0.024791730707516575,TN,SVM (RBF),S1e
Vedení firmy plně podpořilo nový firemní program pro digidetox zaměstnanců.,nový,0.0,0.0,0.001241251090130021,TN,SVM (RBF),S1e
"Hlavní prioritou vlády je nyní rychlá fiskální konsolidace veřejných financí, aby se zamezilo dalšímu zadlužování.",konsolidace,1.0,1.0,0.9963501230263326,TP,SVM (RBF),S1e
Obsah masných výrobků je podle výživových expertů odpad.,výživových,0.0,1.0,0.6504204752358048,FP,SVM (RBF),S1e
"Odbory kritizují tato drakonická opatření, která zahrnují snížení veřejných výdajů a zmrazení platů ve státní správě.",drakonická,1.0,1.0,0.9999849407984706,TP,SVM (RBF),S1e
"Analytici varují, že její pozice na trhu polovodičů je nyní nezničitelná a představuje akutní riziko pro konkurenční firmy.",nezničitelná,1.0,1.0,0.9999996784621012,TP,SVM (RBF),S1e
Podle opozičního lídra je celý dlouhodobý program premiérova týmu jen prázdné žvanění bez reálného obsahu.,žvanění,1.0,1.0,0.9999998148507867,TP,SVM (RBF),S1e
Navzdory velkým očekáváním kritici přijali nový psychologický snímek poměrně rozpačitě.,rozpačitě,1.0,1.0,0.9930294783339523,TP,SVM (RBF),S1e
Nové směrnice Zelené dohody zbytečně kladou na průmysl značné finanční a administrativní nároky.,zbytečně,1.0,1.0,0.9745521691302957,TP,SVM (RBF),S1e
"Lékařský tým věru potvrdil, že rekonstrukce urgentního příjmu proběhne podle schváleného harmonogramu.",věru,1.0,1.0,0.9999946564783797,TP,SVM (RBF),S1e
Tento krok představuje radikální obrat v dosavadním směrování firmy.,firmy,0.0,0.0,0.006464007911673828,TN,SVM (RBF),S1e
Způsobenou škodu označil vandal za své dílko a podepsal se pod něj.,podepsal,0.0,0.0,0.00947166725135617,TN,SVM (RBF),S1e
Prameny v roce 2021 získaly státní bezúročnou půjčku a v roce 2018 byla vypsána veřejná sbírka.,vypsána,0.0,0.0,0.0005366115800362206,TN,SVM (RBF),S1e
"Některé členské státy se ale obávají, že se jedná o neférový diktát velkých zemí.",diktát,1.0,1.0,0.9999990669040333,TP,SVM (RBF),S1e
Mediální bitva o hlasy voličů eskalovala během posledních dvou dnů.,bitva,1.0,1.0,0.9907981412413331,TP,SVM (RBF),S1e
"Kritici očekávají, že inscenace nabídne ikonický pohled na moderní českou společnost.",ikonický,1.0,1.0,0.999999094559921,TP,SVM (RBF),S1e
Zasedání bankovní rady proběhne příští týden za přítomnosti všech sedmi členů.,týden,0.0,0.0,0.00508797610251317,TN,SVM (RBF),S1e
Všechny zúčastněné firmy podle zpráv tunelovaly státní fondy.,firmy,0.0,0.0,0.02175088259979409,TN,SVM (RBF),S1e
"V nárazech dosáhla rychlost větru ničivou rychlost 140 km/h, což vedlo k pádům stromů a narušení železniční dopravy.",ničivou,1.0,1.0,0.9949571482344456,TP,SVM (RBF),S1e
Klíčová pro úspěch integrace nových systémů do národní správy bude primárně změna mindsetu úředníků a zaměstnanců.,mindsetu,1.0,1.0,0.9896705632816989,TP,SVM (RBF),S1e
Město při plánování průmyslového parku o rozloze 115 hektarů uzavřelo spolupráci se Státní investiční a rozvojovou společností.,Státní,0.0,0.0,0.0010477670552220845,TN,SVM (RBF),S1e
"Bylo navrženo, že by staré nevyužité špajsky mohly být přeměněny na studijní místnosti.",špajsky,1.0,1.0,0.9912726414958458,TP,SVM (RBF),S1e
"Chyběl tam překvapivě jeden z hlavních představitelů,  který má čelit obvinění z korupce.",hlavních,0.0,0.0,0.0005008491362897663,TN,SVM (RBF),S1e
"Vzpomeňme na rok 2018, kdy se tady ve Windsoru odehrála pohádková svatba prince Harryho s vévodkyní Megan.",kdy,0.0,0.0,0.00041538529768815266,TN,SVM (RBF),S1e
Choreografie Tomáše Rychetského se stala skutečným darem pro pražskou taneční scénu.,darem,1.0,1.0,0.9820976061372639,TP,SVM (RBF),S1e
Evropská komise navrhuje pozastavit část svých přelomových zákonů o umělé inteligenci pod #silným tlakem velkých technologických firem a vlády USA.,navrhuje,0.0,0.0,0.022214879455102483,TN,SVM (RBF),S1e
Dopravní situace v centru je dnes peklo.,situace,0.0,0.0,0.010037290867631509,TN,SVM (RBF),S1e
Studie předpovídá pokles úrody pšenice o 15 procent do roku 2050.,Studie,0.0,0.0,0.16074297588176822,TN,SVM (RBF),S1e
"Analytici varují, že Írán rozšiřuje svá chapadla v regionu skrze finanční a vojenskou podporu pro milice.",chapadla,1.0,1.0,0.9999909700512576,TP,SVM (RBF),S1e
Primář Novák je podle hodnocení pacientů považován za skutečného machra ve svém oboru chirurgie.,machra,1.0,1.0,0.999987307143836,TP,SVM (RBF),S1e
Rozdíl mezi platy mužů a žen zůstává i na dále neuvěřitelný.,žen,0.0,0.0,0.0009773327577260436,TN,SVM (RBF),S1e
Po bouřlivé debatě se nakonec podařilo zajistit dostatečné kvorum pro schválení důležité vyhlášky o místních poplatcích.,kvorum,1.0,1.0,0.9916338666234658,TP,SVM (RBF),S1e
Někteří pacienti popisují noční čekání na ošetření v přeplněné čekárně jako skutečné utrpení.,utrpení,1.0,1.0,0.9999928219345408,TP,SVM (RBF),S1e
V rámci předvolebních slibů přislíbil občanům rapidní zlepšení MHD.,přislíbil,1.0,1.0,0.936869336651901,TP,SVM (RBF),S1e
Civilisté jsou denně vystaveni agresi ze strany osadníků na Západním břehu Jordánu.,agresi,1.0,1.0,0.9859431730605872,TP,SVM (RBF),S1e
"Přestože to zaznělo loni, zůstávala tato nadávka jako balvan mezi oběma politiky",nadávka,0.0,0.0,0.0013712518005076155,TN,SVM (RBF),S1e
Finanční plán vedení je bordel a překvapil celou burzu svou nepřipraveností.,plán,0.0,0.0,0.012629608787712066,TN,SVM (RBF),S1e
"Městská správa připravila opatření, která fungovala skvěle a zabránila větším škodám.",skvěle,1.0,1.0,0.9999926419685169,TP,SVM (RBF),S1e
"Nejvíce nominací si odnesla mladá zpěvačka Billie Eilish, jejíž hlas definuje současnou generaci popu.",hlas,1.0,1.0,0.8559054659649694,TP,SVM (RBF),S1e
Škoda byla předběžně vyčíslena na pět milionů korun v majetku města.,majetku,0.0,0.0,0.001962198600930472,TN,SVM (RBF),S1e
Očekává se značné navýšení celosvětové produkce výkonných mikroprocesorů v příštím roce.,značné,1.0,1.0,0.9853081137711789,TP,SVM (RBF),S1e
Vláda daného státu označila tento postup za nátlak a diktát ze strany Bruselu.,diktát,1.0,1.0,0.9999985976953811,TP,SVM (RBF),S1e
"Jednání probíhají za zavřenými dveřmi, ale poněkud bez jasného a finálního výsledku.",poněkud,1.0,1.0,0.9967664632493926,TP,SVM (RBF),S1e
Vzhledem k aktuální ekonomické situaci bylo riziko disrupce úrokových sazeb ČNB odmítnuto.,disrupce,1.0,1.0,0.992293102376965,TP,SVM (RBF),S1e
Na obnovu turistických cest a stezek bylo vyčleněno 50 milionů korun.,korun,0.0,0.0,0.05710390010882124,TN,SVM (RBF),S1e
Pokles tržeb na byl neobyčejně velký.,tržeb,0.0,0.0,0.006501252630987439,TN,SVM (RBF),S1e
"Naše bezpečnostní složky pouze zajišťují zvýšené monitorování hranic proti teroristickým hrozbám, uvedl premiér.",monitorování,1.0,0.0,0.04227195728577721,FN,SVM (RBF),S1e
Kritizované podmínky splnilo skoro všech pět zájemců o celou zakázku.,podmínky,0.0,0.0,0.0006486968292042814,TN,SVM (RBF),S1e
Základní sazba vzrostla o půl procentního bodu.,Základní,0.0,0.0,0.11449287882682725,TN,SVM (RBF),S1e
Na opravu kostela přispěl stát balíkem peněz.,balíkem,1.0,1.0,0.9750573988882962,TP,SVM (RBF),S1e
"Odborníci se shodují, že se jedná o nevídaný pokrok, který do deseti let změní více než 50% pracovního trhu.",nevídaný,1.0,1.0,0.9999884798372974,TP,SVM (RBF),S1e
První etapa oprav zahrnuje fasádu katedrály svatého Víta na Pražském hradě.,svatého,0.0,0.0,0.1607823394937232,TN,SVM (RBF),S1e
O 40 procent do roku 2030 oproti roku 1990 mají být sníženy ty emise.,roku,0.0,0.0,0.02659113573488255,TN,SVM (RBF),S1e
"Jeho opakovaná nepřítomnost v důležitých chvílích znovu potvrdila, že je v podstatě jen politický fluktuant.",fluktuant,1.0,1.0,0.9999954818138138,TP,SVM (RBF),S1e
Její předseda Tomio Okamura z budovy Sněmovny #ostentativně sundal ukrajinskou vlajku.,ostentativně,1.0,1.0,0.9348838742396407,TP,SVM (RBF),S1e
"Produkce potvrdila, že celkový rozpočet přesáhne miliardu korun, což zaručuje velkolepý vizuální zážitek.",velkolepý,1.0,1.0,0.9970123217239878,TP,SVM (RBF),S1e
"Evropa se potýká s infodemií, která je horší než jakákoliv virová epidemie.",horší,0.0,0.0,0.005033915420556563,TN,SVM (RBF),S1e
Asistent trenéra opustí koryta ihned po podpisu ukončení pracovní smlouvy.,trenéra,0.0,0.0,0.0016159795820121633,TN,SVM (RBF),S1e
Jeden z narkomanů prodává levný perník včetně dalších prostředků pro apliakci této drogy dětem.,dalších,0.0,0.0,0.0001466532984892067,TN,SVM (RBF),S1e
"Přestože vláda slibovala finanční stabilitu, celková suma vydaná na panely stála daňové poplatníky pořádný ranec.",ranec,1.0,1.0,0.999999964740496,TP,SVM (RBF),S1e
Pro platnost výsledků a jejich závaznost pro orgány stanovuje tato novela nová pravidla.,závaznost,0.0,0.0,0.0011981173833712257,TN,SVM (RBF),S1e
Suverénní Motoristé si v koalici prosazují zcela vlastní program pro celou zemi.,program,0.0,0.0,0.0005774667430665617,TN,SVM (RBF),S1e
"Pohřební rituál odráží pradávnou kulturu a zvyklosti, které nebyly dříve známy.",dříve,0.0,1.0,0.5,FP,SVM (RBF),S1e
Mezi protestujícími se objevili i různí podivíni.,objevili,0.0,0.0,4.3230058904577563e-05,TN,SVM (RBF),S1e
Stav papíru je zcela v háji a listy se lámou při manipulaci.,háji,1.0,1.0,0.9973425440876952,TP,SVM (RBF),S1e
"Během proslovu Trump agresivně napadl migrační politiku současné administrativy, přičemž uvedl nepřesná statistická data.",agresivně,1.0,1.0,0.9965990308160471,TP,SVM (RBF),S1e
Nový trenér podepsal s klubem kontrakt na tři sezóny s možnou opcí.,opcí,0.0,0.0,0.00046586845936140203,TN,SVM (RBF),S1e
"Robert Králíček, místopředseda hnutí ANO a dlouholetý poslanec, jeden z hlavních motorů kampaně do sněmovních voleb kandidovat nebude.",poslanec,0.0,0.0,0.1397104884961045,TN,SVM (RBF),S1e
Evropské instituce skutečně tu situaci pozorně sledují a pravidelně vyhodnocují.,pozorně,1.0,1.0,0.9442125459851022,TP,SVM (RBF),S1e
Někteří ekonomové kritizovali plánované změny jako absurdní řešení současné krize.,absurdní,1.0,1.0,0.9974074931462391,TP,SVM (RBF),S1e
První etapa oprav zahrnuje fasádu katedrály svatého Víta na Pražském hradě.,Pražském,0.0,0.0,0.0007927791677166472,TN,SVM (RBF),S1e
"Prý už to ale nepůjde změnit, jelikož ústavní soud ve věci už jednou rozhodl.",už,0.0,0.0,0.2580960389953528,TN,SVM (RBF),S1e
Cena zakázky se stoupne na desítky miliard korun.,desítky,1.0,0.0,0.25346983724022826,FN,SVM (RBF),S1e
Místo konstruktivního řešení vedli někteří zástupci jenom samé plky o detailech rozpočtu.,plky,1.0,1.0,0.9999984899684049,TP,SVM (RBF),S1e
Kritizované podmínky splnilo skoro všech pět zájemců o celou zakázku.,zájemců,0.0,0.0,0.0019018244195861216,TN,SVM (RBF),S1e
Školy dostanou peníze na nákup tabletů.,nákup,0.0,0.0,0.01265425498122103,TN,SVM (RBF),S1e
"Výsledek znamenal zdrcující porážku pro křídlo podporující dosavadního lídra, který odstoupil z funkce.",zdrcující,1.0,1.0,0.999999958710717,TP,SVM (RBF),S1e
Těch 450 000 stran historických dokumentů a textů zahrnoval ten proces digitalizace.,proces,0.0,0.0,0.11241665221381991,TN,SVM (RBF),S1e
Důležité mantinely dohody byly vyjednány v průběhu celonočního zasedání svazu.,vyjednány,0.0,0.0,0.0006215741517449064,TN,SVM (RBF),S1e
Objem úvěrů pro domácnosti dosáhl nové výše 450 miliard korun.,korun,0.0,0.0,0.0020111903240853544,TN,SVM (RBF),S1e
Hodnota zakázky se pohybuje kolem 55 miliard korun za techniku.,Hodnota,0.0,1.0,0.9702125386036944,FP,SVM (RBF),S1e
Odborníci varují před možnou volatilitou v sektoru státních dluhopisů v důsledku změny ratingu.,volatilitou,1.0,1.0,0.9925362146694114,TP,SVM (RBF),S1e
Pro platnost výsledků a jejich závaznost pro orgány stanovuje tato novela nová pravidla.,novela,0.0,0.0,0.20100166945031003,TN,SVM (RBF),S1e
Údajně by měl být ministrem bez portfeje a na starosti sport a zdravý styl.,měl,0.0,0.0,0.0009923777560698758,TN,SVM (RBF),S1e
"Byl zjištěn nečekaný případ inkongruence nálezů, které se neshodují.",nálezů,0.0,0.0,0.0016855563170395916,TN,SVM (RBF),S1e
Reakce odpovědných orgánů byla pomalá.,Reakce,0.0,0.0,0.3710032384660636,TN,SVM (RBF),S1e
Její předseda Tomio Okamura z budovy Sněmovny #ostentativně sundal ukrajinskou vlajku.,Okamura,0.0,0.0,0.0007892146902182488,TN,SVM (RBF),S1e
Hlavní obžalovaný dostal trest odnětí svobody na pět let s okamžitou platností.,obžalovaný,0.0,0.0,0.004143127960131637,TN,SVM (RBF),S1e
"Experti tvrdí, že investice do fotovoltaiky je zaručeným způsobem, jak si zajistit energetickou sklizeň.",sklizeň,1.0,1.0,0.9742375437676483,TP,SVM (RBF),S1e
"V centru je to teď děsivé, zejména o víkendech.",teď,0.0,0.0,0.007155270891070534,TN,SVM (RBF),S1e
Program se zaměří na umělou inteligenci a také novodobou robotiku.,také,0.0,0.0,0.04283102455199172,TN,SVM (RBF),S1e
Varování platí pro čtyři kraje s účinností od sobotního rána do neděle.,rána,0.0,0.0,0.001270478755808952,TN,SVM (RBF),S1e
Uživatelé tak mohou využívat skvělé funkce k rychlému a transparentnímu ověřování sporných tvrzení a politických prohlášení.,skvělé,1.0,1.0,0.9940985938732582,TP,SVM (RBF),S1e
"Mezinárodní společenství je frustrováno jeho přístupem, který se v klíčových momentech ukázal být naprosto prase.",prase,1.0,1.0,0.9999998679981084,TP,SVM (RBF),S1e
"Vyvinuli nové bateriové úložiště pro domácnosti, které dosahuje průlomové účinnosti v přeměně energie.",průlomové,1.0,1.0,0.983031400602827,TP,SVM (RBF),S1e
Za posledních 72 hodin se na ostrov Lampedusa vylodily tisíce lidí bez řádné registrace a kontroly totožnosti.,tisíce,1.0,1.0,0.8017807738196098,TP,SVM (RBF),S1e
Na úrovni 1500 případů na sto tisíc obyvatel dosáhla tato nemocnost v populaci.,úrovni,0.0,0.0,0.27155882686555066,TN,SVM (RBF),S1e
Obchodní spory s regionálními partnery jen posilují narativ o nutnosti diverzifikace dodavatelských řetězců v Asii.,narativ,1.0,1.0,0.9999922529750818,TP,SVM (RBF),S1e
Většina nádrží v kraji je vhodná ke koupání.,koupání,0.0,0.0,0.0025875211838783676,TN,SVM (RBF),S1e
"Experti upozorňují, že Brusel investicím do inovací věnuje pouze značný podíl z celkového rozpočtu na výzkum.",značný,1.0,1.0,0.9963106005372527,TP,SVM (RBF),S1e
"Postupný přechod k zeleným technologiím ukazuje, že čas tradičních fosilních obrů se definitivně chýlí ke konci.",obrů,1.0,1.0,0.9636592951146217,TP,SVM (RBF),S1e
Město při plánování průmyslového parku o rozloze zhruba 115 hektarů uzavřelo spolupráci se Státní investiční a rozvojovou společností.,parku,0.0,0.0,0.0020102934370269747,TN,SVM (RBF),S1e
Vydání digitálního eura podle některých analytiků zcela zlikviduje dosavadní dominance privátních stablecoinů.,zlikviduje,1.0,1.0,0.9999981602317519,TP,SVM (RBF),S1e
"Analytici upozorňují, že hlavním cílem je šířit politickou špínu a destabilizovat tak veřejnou debatu.",špínu,1.0,1.0,0.9999991099216269,TP,SVM (RBF),S1e
"Rozhodnutí bylo zbabělé, ministr měl bojovat až do samotného konce.",samotného,0.0,0.0,0.0005086636515070245,TN,SVM (RBF),S1e
"Podpora inovací ze strany státu tvoří 0,8 procenta HDP.",tvoří,0.0,0.0,0.002626763135156065,TN,SVM (RBF),S1e
"Experti tvrdí, že současný model výuky je naprostý bordel a potřebuje generální rekonstrukci.",bordel,1.0,1.0,0.9999995597070443,TP,SVM (RBF),S1e
"Kritici tvrdí, že současný systém přitahuje především tzv. dávkomaty bez zájmu zapojit se do pracovního trhu.",dávkomaty,1.0,1.0,0.9920650927427098,TP,SVM (RBF),S1e
Zlepšení obchodních podmínek by mohlo vést k nebývalé prosperitě kontinentu.,prosperitě,1.0,1.0,0.9410923640112709,TP,SVM (RBF),S1e
Skvrna se táhla v délce dvou kilometrů.,délce,0.0,0.0,0.12091916470308806,TN,SVM (RBF),S1e
Tento jedovatý náklad byl určen pro desítky mladých uživatelů po celé metropoli.,jedovatý,1.0,1.0,0.9541874942594943,TP,SVM (RBF),S1e
Korupční skandál spojený s ministryní financí nadále otřásá křehkou vládní koalicí a ohrožuje její stabilitu.,otřásá,1.0,1.0,0.9939243236872521,TP,SVM (RBF),S1e
Celkový úlovek tresky v Labi klesl v loňském roce o 10 tun.,klesl,0.0,0.0,0.001752129811878848,TN,SVM (RBF),S1e
"Odborníci se přesto shodují, že tak mastné výdaje jsou nezbytné pro udržení tempa výzkumu.",mastné,1.0,1.0,0.9999998951304109,TP,SVM (RBF),S1e
"Prý už to ale nepůjde změnit, jelikož ústavní soud ve věci už jednou rozhodl.",ústavní,0.0,0.0,0.0365799148025705,TN,SVM (RBF),S1e
Součástí opatření je navýšení platů a také příkladná podpora dalšího odborného vzdělávání personálu.,příkladná,1.0,1.0,0.9470025217835165,TP,SVM (RBF),S1e
"Pokud vláda urychleně nezjednoduší stávající byrokracii, bude z celé té transformace akorát velký bordel.",bordel,1.0,1.0,0.9999999678564164,TP,SVM (RBF),S1e
Městská policie tajně nasadila technologie geofencingu na sledování občanů ve městě.,tajně,0.0,0.0,0.08904503202867642,TN,SVM (RBF),S1e
"Ti, co přišli, si mohli užít naprosto fenomenální akustiku provizorního stanu a hity devadesátých let.",fenomenální,1.0,1.0,0.9999978625517608,TP,SVM (RBF),S1e
"Do sálu přišly desítky demonstrantů, kteří protestovali proti novým poplatkům.",desítky,1.0,0.0,0.24513841443591344,FN,SVM (RBF),S1e
Opozice vyjádřila hlubokou deziluzi nad celým procesem jednání o tak důležitém tématu.,hlubokou,0.0,0.0,0.0014660096505977338,TN,SVM (RBF),S1e
Zadržený pachatel byl dlouho sledován bafuňářem z místní ochranné služby.,bafuňářem,1.0,1.0,0.9999890325339299,TP,SVM (RBF),S1e
Turisté se mohou těšit na příjemný špacír přes Růžovou zahradu a jižní nádvoří hradu.,špacír,1.0,1.0,0.9857989384941792,TP,SVM (RBF),S1e
Obžaloba zahrnuje sedm osob a škoda přesahuje 30 milionů korun.,škoda,0.0,0.0,0.0015454483878802902,TN,SVM (RBF),S1e
"Byly nalezeny desítky artefaktů, které pocházejí z raného středověku v této oblasti.",desítky,1.0,1.0,0.7893370082174472,TP,SVM (RBF),S1e
Toto pavoučí megaměsto vědci zkoumali víc než dva roky při opakovaných expedicích do extrémního prostředí sírových jeskyní.,prostředí,0.0,0.0,0.010067449759393308,TN,SVM (RBF),S1e
Lokalita obsahuje pozůstatky 600 těl datovaných do 13. století na tomto území.,těl,0.0,1.0,0.5870463131951861,FP,SVM (RBF),S1e
Škoda byla předběžně vyčíslena na 50 milionů korun v majetku firmy a města.,předběžně,0.0,0.0,0.003038040407127821,TN,SVM (RBF),S1e
Agrivoltaika povede k nevratné devastaci celé venkovské krajiny.,venkovské,0.0,0.0,0.0006025686042581765,TN,SVM (RBF),S1e
Jejich nejnovější cenzurní opatření vyvolala mezi některými politiky vlnu nevole a debatu o svobodě slova.,cenzurní,1.0,1.0,0.9909071971003341,TP,SVM (RBF),S1e
Nová pravidla vedou pouze k byrokracii a pomalému schvalování důležitých dotací.,pomalému,0.0,0.0,0.0004809116038954123,TN,SVM (RBF),S1e
